Account Number,Business Name,Business Description,Application Date,Business Start Date,Business Close Date,Current License Status,Location City,Location Zip code
1000002,SHADY LADY INC,RESTAURANT,5/1/09,4/5/09,5/1/09,Application Cancelled,SACRAMENTO,95814
1000003,SHADY LADY INC,RESTAURANT,5/1/09,4/5/09,5/1/09,Application Cancelled,SACRAMENTO,95814
1000004,SHAWN'S STUMPGRINDING,STUMP GRIDING AND TREE MAINTENANCE,5/21/12,5/1/09,,License Expired,SACRAMENTO,95838
1000005,ALETHEA ANGELA ERWIN,MASSAGE,5/1/09,5/1/09,,License Expired,SACRAMENTO,95821
1000006,DONALD L WILSON,TAXI DRIVER/AAA,3/22/10,5/1/09,,License Expired,SACRAMENTO,95819
1000007,DONALD WILSON,OTHER,5/1/09,5/1/09,,Application Cancelled,SACRAMENTO,95834
1000008,AVILA HERNANDEZ LLP,ATTORNEY,4/15/10,5/1/09,3/15/11,License Cancelled,SACRAMENTO,95832
1000009,VIOLENCE PREVENTION SERVICES,CONSULTING SERVICES,5/1/09,5/1/09,8/5/10,License Cancelled,SACRAMENTO,95831
100001,JOHN A CAMPANELLA LAW OFFICE,ATTORNEY,1/1/08,1/1/96,6/24/08,License Cancelled,SACRAMENTO,95816
1000010,TABLE SCRAPS,PET TREATS,4/19/11,5/1/09,,License Expired,SACRAMENTO,95816
1000011,FANCY FOUR PAWS,PET PRODUCT - ONLINE,4/19/11,5/1/09,,License Expired,SACRAMENTO,95816
1000013,PHOTOS BY YVONNE,SELL PHOTOS (FRAMED & UNFRAMED) OFFICE USE ONLY,3/21/11,5/1/09,6/4/12,License Cancelled,SACRAMENTO,95831
1000014,AUTO GLASS 2 GO,MOBILE WINDSHIELD REPAIR/REPLACEMENT,6/7/10,5/1/09,4/7/11,License Cancelled,SACRAMENTO,95838
1000015,TWO MEN AND A TRUCK,MOVING COMPANY,4/4/17,5/1/09,,Renewal Active,SACRAMENTO,95828
1000017,LIGHT FIGHTER PRO VIDEO PRODUCTION,VIDEO RECORDING AND EDITING,5/1/09,5/1/09,,License Expired,SACRAMENTO,95835
