,Business Description
0,;AUTO REPAIR
1,(CNA) CERTIFIED NURSING ASS
2,(CRAFT) FLOWERS AND CLOTHES
3,(HOUSE CLEANING)
4,(INTERNET)WHOLESALE/RESALE CLOTHING & ACCESSORIES
5,(NATURAL) HAIR STYLIST
6,(SALON) HAIRSTYLIST
7,"& RUDY, LLP   LAW FIRM"
8,"& RUDY, LLP.--LAW FIRM"
9,#233 RETAIL RESTAURANT
10,#7576 FAST FOOD RESTAURANT
11,`USIC ENTERTAINMENT COMPANY
12,$5 OIL CHANGE
13,1 HOUR PHOTO
14,1 HOUR PHOTO & WEDDING VIDEO
15,1 ROOM IN HOUSE FOR SHARE
16,10/24/07 & TEA GIFTS (SELLS)
17,100% ORGANIC NUTRIENT/DROP SHIP/ DIRECT SALES
18,15 PASSENGER PEDI BUS CHARTERED SERVICE
19,1950 KIRK WY HOUSEKEEPING
20,1ANDYMAN ETC. SRVS
21,1CE SKATING EQUIPMENT
22,2 VENDING MACHINES
23,2 WAY RADIOS AND AT&T DEALER
24,2-D DRAFTING OF ARCHITECTURAL PLANS & 3-D MODELING
25,2030 16TH STREET
26,2110 10TH ST #6
27,24 HR CHILD CARE SVCS
28,24/7 MOBILE LOCKSMITH SERVICES
29,25 CENT CANDY
30,25 CENT CANDY VENDING
31,270 Unit Multifamily Apartment Complex
32,2AMPER SHELL SALES
33,2ANITORIAL/CARPET CLEANING
34,2ARKETING CONSULTING/ADVERTISI
35,2ARKETING SVCS TO DENTAL LABS
36,2AXI DRIVER (CALIF. CO-OP)
37,2DS/WEB DSGN/MULTI MED. GRAFIC
38,2DULT ENTERAINMENT
39,2ND HAND
40,2ND HAND & GUN DEALER
41,2ND HAND CLOTHING EXPORT ONLY
42,2ND HAND CLOTHING STORE
43,2ND HAND CLOTHING/COSTUME JEWL
44,2ND HAND DEALER
45,2ND HAND DEALER FOR GOLD BUYING
46,2NDHAND DEALER
47,2NTERIOR DESIGN
48,2OCUMENT MANAGEMENT
49,2OUSE KEEPER
50,2RODUCE DECORATIVE EGGS
51,3 DAY SHOW WOOD WORKING TOOLS
52,3 HR PACKAGE DELIVERY
53,3 RING BINDER DISTRIBUTERS
54,3-member medical marijuana collective
55,3/D 4/D ULTRASOUND & PRENATAL
56,30 MIN FITNESS CENTER
57,30 MINUTE WORKOUT FACILITY
58,35MM 3DIMENSION PHOTOS/VIDEO
59,360 PHOTOGRAPHY
60,3D ARCHITECTURAL RENDERING
61,3D BODY SCANNING
62,3D Computer Aided Detailing
63,3D FULL BODY SCANNING & PRINTIN OF ARTISTIC FIGURINES
64,3D LASER PORTRAITS
65,3D MODELLING & ANIMATION
66,"3D PRINTING, MOBILE APPS"
67,3D-GRAPHICAL DESIGN
68,3M PAINT PROTECTION FILM
69,3RD PARTY ADMINISTRATOR
70,3RD PARTY MONITORING OF BURGLAR/FIRE ALARM SYSTEMS
71,3RD PARTY PROPOSITION PLAYER
72,3RD PARTY PROVIDER OF PROPOSITION PLAYER SERVICES
73,3RD PARTY PROVIDER/PROPOSITION PLAYER SVCS
74,3RD PRTY GRP HLTH CLAIMS ADMIN
75,50'S STYLE MALT SHOP
76,501 (C) 3 NONPROFIT
77,501(c)(3) Mobilize capital to drive social progress
78,501(c)5 Union
79,516 561320 TEMP HELP SERICES
80,561320 TEMP HELP SERVICES
81,57TH ST ANTIQUE MALL
82,57TH ST ANTIQUE MALL BUY SELL
83,57TH ST ANTIQUE ML
84,58 UNIT MOTEL
85,7 ELEVEN CONVENIENCE MARKET
86,7-ELEVEN FOOD STORE #2235-328
87,7-ELEVEN STORE 2235-18185 C
88,99 CENT STORE
89,99 CENTS & UP STORE
90,A  NETWORK OF MACINTOSH SPECIL
91,A BETTER APPLIANCE REPAIR CO
92,A CHILDREN'S BOUTIQUE
93,A CHRISTIAN GAMES COMPANY
94,A CLOTHING BRAND
95,A COFFEE & JUICE SHOP
96,A COLLECTIONS COMPANY
97,A COOPERATIVE OF LOCAL ARTISTS
98,A DEBT SETTLEMENT COMPANY
99,A EVENT PLANNER
100,A FINE ART CLOTHING COMPANY
101,A FINE ARTS COMPANY
102,A FULL-SERVICE MARKETING FIRM
103,A GENERAL CONTRACTOR
104,A GENERAL ENGINEERING CONTRACT
105,A HABITAT MITIGATION COMPANY
106,A HEALTH CARE PROVIDED FIRM FOR STAFFING
107,A HELPMATE/ HOME CLEANING
108,A LADIES DAY SPA
109,A LAW AND GOVERNMENT RELATION
110,A LAW CORPORATION
111,A MAC SHOP
112,A ME NA HAPA HAOLE HULA DANCER
113,A MEXICAN MARKET
114,A MULTI-DISCIPLINARY DESIGN STUDIO
115,A NON-LAW TYPING/PROCESS SERV
116,A PROF CORP MEDICAL OFFICE
117,A PROF CORP- LAW OFFICE
118,A PROF CORP-PHYSICIAN'S OFFICE
119,A PROF CORP. MEDICAL OFFICE
120,A PROF LAW CORP
121,A PROFESS. LAW CORP (GEORGE)
122,A PROFESS. LAW CORP (MARK)
123,A PROFESSIONAL CORP LAW FIRM
124,A PROFESSIONAL CORPORATION
125,A PROFESSIONAL CORPORATION-LAW
126,A PROFESSIONAL LAW CORPORATION
127,A Record label
128,A SALON
129,A STRENGTH AND CONDITIONING FACILITY
130,A SWIMMING POOL MAINTENANCE
131,A TOURING COMPANY FOR WOMEN
132,A TOWING & TRANSPORTATION SERV
133,A VENDING COMPANY
134,A VOCATIONAL INSTRUCTION
135,A yoga and dance studio.
136,A/C & REFRIG SALES EG
137,A/C AND HEATING REPAIR
138,A/C AND HEATING SERVICE AND INSTALLATION
139,A/C HEATING/APPLIANCE REPAIRS
140,"A/C INSTALL, REPAIR & RECHARGE"
141,A/C TESTING
142,A/R- BILLING MANAGEMENT
143,A&H TREE SERVICE & LANDSCAPE
144,AAA DRIVER
145,AAXI DRIVER/ YELLOW
146,ABATEMENT
147,ABATEMENT AIR MONITORING
148,ABATEMENT CONTRACT
149,ABATEMENT CONTRACTOR
150,ABATEMENT/DEMOLITION
151,ABDULLAH ISLAMIC FDN FOOD COOP
152,ABORICULTURAL CONSULTING
153,ABORICUTURAL -TREE SERVICE
154,ABRASIVE SALES (WHOLESALE)
155,ABSENTEE AUCTION HOUSE
156,"AC REPAIR, HAULING, DIGGING"
157,"AC, HEATER MECHANICAL REPAIR"
158,AC/HEATER REPAIR & INSTALLATIONS
159,ACADEMIC & CLASSICAL REALISM ART CLASSES &TUTORING
160,ACADEMIC ALIGHMENT COACH
161,ACADEMIC ALIGMENT COACH
162,ACADEMIC ALIGN. COACH
163,ACADEMIC ALIGNMENT COACH
164,Academic Alignment Coach
165,ACADEMIC ALIGNMENT COACH START
166,ACADEMIC ALIGNMENT COACHES
167,ACADEMIC ALIGNMENT CONSULTANT
168,ACADEMIC ALINGMENT COACH
169,ACADEMIC ALLIGNMENT COACH
170,ACADEMIC PROFFESIONAL TRAINING
171,ACADEMIC SERVICES
172,ACADEMIC TUTORING
173,ACADEMIC/LIFE COACHING
174,ACADMIC ALIGNMENT COACH
175,ACAPPELLA (SINGING) GROUP
176,ACCESORIES
177,ACCESS AND REPAIR
178,ACCESS CONSULTING
179,"ACCESS CONTROL CCTV,SALES&INST"
180,ACCESS CONTROL/CCCTV SALES/INSTALLATION
181,ACCESS FLOORING CONTRACTOR
182,Accessibility Consulting
183,ACCESSIBILITY CONSULTING
184,ACCESSORIES
185,ACCESSORIES - JEWELRY
186,ACCESSORIES FOR HEADWEAR
187,ACCESSORIES FOR THE HOME
188,ACCESSORIES RETAIL
189,ACCESSORIES WHOLESALE
190,"ACCESSORIES. TOYS, T-SHIRTS, GIFTS"
191,ACCESSORIES/NOVELTY GOODS
192,ACCESSORIES/PARTY SUPPLIES
193,ACCESSORY FOR APPAREL
194,ACCESSORY SALES
195,ACCIDENT & VANDALIZED VEHICLE APPRAISAL
196,"ACCIDENT/HEALTH, LIFE INSURANCE AGENT"
197,ACCOMODATION SALES
198,ACCORDION SERVICE REPAIR  SALE
199,ACCOUNING FIRM
200,ACCOUNTANCY
201,ACCOUNTANCY CORP.
202,ACCOUNTANCY CORPORATION
203,ACCOUNTANT
204,ACCOUNTANT - W.E. HIMMELMAN
205,ACCOUNTANT & MGMT. CONSULTANT
206,ACCOUNTANT SERVICES
207,ACCOUNTANTS
208,ACCOUNTING
209,Accounting
210,ACCOUNTING / BOOKKEEPING
211,ACCOUNTING / CLERICAL
212,ACCOUNTING & BOOKKEEPING
213,ACCOUNTING & BOOKKEEPING SER
214,ACCOUNTING & BOOKKEEPING SERV
215,ACCOUNTING & BOOKKEEPING SERVI
216,ACCOUNTING & BOOKKEEPING SERVICES
217,ACCOUNTING & BUSINESS FORMS
218,ACCOUNTING & CONSULTATIONS
219,ACCOUNTING & CONSULTING
220,ACCOUNTING & HUMAN RESOURCES SERVICES
221,ACCOUNTING & TAX
222,ACCOUNTING & TAX PRACTICE
